vr_id,vendor_id,vr_productcode,vr_minqty,vr_maxqty,vr_price,vr_partno,vr_deactivate_until,lastmodified,lastmodby
"3654","55","A-00430","1","","196.3500","110941-01 -#94A","","2025-04-10 11:47:00","1"
"3212","22","A-00454","1","","8.5000","A-00454","","2026-07-10 12:18:00","9670"
"3655","55","A-00456","1","","7.6500","215371 -#90","","2025-04-10 11:47:00","1"
"3652","55","A-00459","1","","47.6000","210925 -#84","","2025-04-10 11:47:00","1"
"2604","11","A-00475","1","",".0100","A-00475","","2025-04-10 11:47:00","1"
"1113","22","A-00481","1","",".0100","A-00481","","2025-04-10 11:47:00","1"
"1971","100","A-00489","1","",".0100","111532","","2025-04-10 11:47:00","1"
"3656","55","A-00490","1","","59.5000","210750 -#92","","2025-04-10 11:47:00","1"
"1610","22","A-00498","1","",".0100","A-00498","","2025-04-10 11:47:00","1"
"3651","55","A-00500","1","","34.0000","210098 -#85","","2025-04-10 11:47:00","1"
"3658","55","A-00501","1","","42.5000","210709 -#109","","2025-04-10 11:47:00","1"
"1581","22","A-00538","1","",".0100","A-00538","","2025-04-10 11:47:00","1"
"1580","22","A-00540","1","",".0100","A-00540","","2025-04-10 11:47:00","1"
"1588","22","A-00543","1","",".0100","A-00543","","2025-04-10 11:47:00","1"
"1587","22","A-00544","1","",".0100","A-00544","","2025-04-10 11:47:00","1"
"1116","22","A-00688","1","",".0100","A-00688","","2025-04-10 11:47:00","1"
"1115","22","A-00689","1","",".0100","A-00689","","2025-04-10 11:47:00","1"
"1100","22","A-00711","1","",".0100","V-00356","","2025-04-10 11:47:00","1"
"1099","22","A-00717","1","",".0100","A-00717","","2025-04-10 11:47:00","1"
"2104","22","A-00729","1","",".0100","A-00729","","2025-04-10 11:47:00","1"
"542","100","A-00730","1","",".0100","214262","","2025-04-10 11:47:00","1"
"2105","22","A-00730","1","",".0100","A-00730","","2025-04-10 11:47:00","1"
"2613","22","A-00752","1","",".0100","A-00752","","2025-04-10 11:47:00","1"
"1585","22","A-00758","1","",".0100","A-00758","","2025-04-10 11:47:00","1"
"3397","22","A-00759","1","",".0100","A-00759","","2025-04-10 11:47:00","1"
"2971","22","A-00805","1","","17.8000","A-00805","","2025-04-10 11:47:00","1"
"2635","22","A-00833","1","",".0100","A-00833","","2025-04-10 11:47:00","1"
"1566","22","A-00883","1","",".0100","A-00883","","2025-04-10 11:47:00","1"
"1567","22","A-00884","1","",".0100","A-00884","","2025-04-10 11:47:00","1"
"1117","22","A-01031","1","",".0100","A-01031","","2025-04-10 11:47:00","1"
"1118","22","A-01032","1","",".0100","A-01032","","2025-04-10 11:47:00","1"
"3040","22","A-01090","1","","998.0000","A-01090","","2026-02-23 17:36:00","1"
"1584","22","A-01202","1","",".0100","A-01202","","2025-04-10 11:47:00","1"
"1583","22","A-01203","1","",".0100","A-01203","","2025-04-10 11:47:00","1"
"1582","22","A-01204","1","",".0100","A-01204","","2025-04-10 11:47:00","1"
"3544","11","A-01306","1","",".0100","A-01306 & 4 Pin MolexConnector","","2025-04-10 11:47:00","1"
"2843","22","A-01423","1","","1262.0000","A-01423","","2025-04-10 11:47:00","1"
"3238","22","A-01424","1","","72.0000","A-01424","","2025-04-10 11:47:00","1"
"2832","22","A-01432","1","",".0100","A-01432","","2025-04-10 11:47:00","1"
"3653","55","A-60458","1","","61.2000","210907-01 -#162","","2025-04-10 11:47:00","1"
"1105","22","A-60545","1","",".0100","A-60545","","2025-04-10 11:47:00","1"
"1111","22","A-60639","1","",".0100","A-60639","","2025-04-10 11:47:00","1"
"2655","22","A-70430","1","",".0100","A-70430","","2025-04-10 11:47:00","1"
"1108","22","A-70458","1","",".0100","A-70458","","2025-04-10 11:47:00","1"
"1114","22","A-70481","1","",".0100","A-70481","","2025-04-10 11:47:00","1"
"1106","22","A-70545","1","",".0100","A-70545","","2025-04-10 11:47:00","1"
"1112","22","A-70639","1","",".0100","A-70639","","2025-04-10 11:47:00","1"
"3600","11","A10087004","1","","19.0000","87004","","2025-04-10 11:47:00","1"
"3852","11","A113-0102-00","1","","65.0000","A113-0102-00 -QD4000","","2025-04-10 11:47:00","1"
"3853","11","A113-0103-00","1","","65.0000","A113-0103-00 -QUAD","","2025-04-10 11:47:00","1"
"1150","100","A126","1","",".0100","A126","","2025-04-10 11:47:00","1"
"3508","11","A1315-01-W-10","1","","28.1600","A1315-01-W-10","","2025-04-10 11:47:00","1"
"2027","11","A1600934","1","",".0100","A1600951S","","2025-04-10 11:47:00","1"
"2028","11","A1600935","1","",".0100","A1600935","","2025-04-10 11:47:00","1"
"2032","11","A1600950","1","",".0100","A1600950","","2025-04-10 11:47:00","1"
"2030","11","A1600950R","1","",".0100","A1600951R","","2025-04-10 11:47:00","1"
"2031","11","A1600951","1","",".0100","A1600951","","2025-04-10 11:47:00","1"
"2029","11","A1600951R","1","",".0100","A1600950R","","2025-04-10 11:47:00","1"
"3461","11","A2020-01-W-10","1","","34.7400","A2020-01-W-10","","2025-04-10 11:47:00","1"
"3969","55","A733-3GS","1","","52.7000","A733-3GS","","",""
"3097","55","A938-LHS","1","","27.8200","A938-LHS","","2025-04-10 11:47:00","1"
"2051","11","AM-BLUE-KIT","1","",".0100","BHB03-BAC01-KIT","","2025-04-10 11:47:00","1"
"2053","11","AM-LOCK-KIT","1","",".0100","BHB02-03-BAC02-KIT","","2025-04-10 11:47:00","1"
"2588","100","ARM9116C-AL","1","",".0100","ARM9116C-AL","","2025-04-10 11:47:00","1"
"553","100","BCTT-AL","1","",".0100","BCTT-AL","","2025-04-10 11:47:00","1"
"554","100","BCTT-DU","1","",".0100","BCTT-DU","","2025-04-10 11:47:00","1"
