Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Old Part #
M-00985,"SUPPORT, GUIDE ROLLER",EA,112.0,56.0,,,,24-14046
M-00986,"BAR,RECT.,DELRIN,1/2 X 1",IN,1.47,0.74,,,,24-0911
M-00991,"BUSHING, RUBBER MOUNT, .406ID .80OD",EA,14.5,7.25,,,,24-0433
M-00993,"BRACKET, THRESHOLD, FS, HURRICANE, RH",EA,24.0,12.0,,,,14-14057-10
M-00994,"BRACKET, THRESHOLD, FS, HURRICANE, LH",EA,24.0,12.0,,,,14-14057-20
M-00996,"BRKT, ELECTRIC LOCK",EA,35.0,17.5,,,,24-14501
M-00997,"LOCKROD, END, 1/4-20",EA,12.6,6.3,,,,14-14062
M-00998,"LOCKROD, END, #12-24",EA,22.0,11.0,,,,14-14064
M-00999,"SPACER, MIDDLE, IDLER ASM",EA,7.3,3.65,,,,14-13928
M-01002,"BUSHING,SUPPORT,BIFOLD BREAKOUT CHANNEL",EA,64.0,32.0,,,,14-8995
M-01003,"TUBE,NYLATRON,1-1/4 OD X 1 ID",IN,4.01,2.01,,,,14-8996
M-01004,"BAR,RECT.,STEEL,1/2 X 1-1/4,1018",IN,2.03,1.02,,,,24-1267
M-01018,BUMPON STRIP,EA,8.2,4.1,,,,14-3444-02
M-01019,"COVER,SWITCH,SWINGER OPERATOR",EA,9.8,4.9,,,,24-0378
M-01036,"ROLLER,URETHANE,MEDIUM STILE",EA,13.4,6.7,,,,14-9044-02
M-01039,"BAR,RECT.,ALUM.,1/4 X 1-1/4,6061-T6",IN,0.65,0.33,,,,14-3556
M-01042,"BAR,RECT.,ALUM.,3/4 X 1,6061-T6",IN,1.47,0.74,,,,14-3039
M-01043,"BRACKET, OPERATOR, SIDELOAD HEADER",EA,12.6,6.3,,,,22-11938
M-01044,"5/8"" WEB DEPTH TRACK FOR OHC'S",EA,28.0,14.0,,,,24-0099
M-01045,"WASHER,STEEL,.375IDX.75ODX.375THK.",EA,2.65,1.33,,,,24-0017-07
M-01047,"SWITCH,PANIC LATCH,W/ WIRES",EA,91.0,45.5,,,,11-6118
M-01048,"GUIDE TRACK,CU,SHORT,CASTING,MILL",EA,46.0,23.0,,,,21-5260-13
M-01049,"CLIP,COVER",EA,11.9,5.95,,,,14-10727
M-01051,"END CAP,SIDELOAD,NO ACCESS HOLE,MILL",EA,23.0,11.5,,,,14-12022-03
M-01052,"TUBE,STEEL,RND.,5/8 OD X .385 ID",IN,0.95,0.48,,,,14-11879
