Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Net Before Tariff
10LZBRMAG3UL - OBSOLETE,"L & Z bracket kit, Maglock3UL for 600lbs, includes hardware",EA,66.29,41.04,,,,38.71
10LZRFLATSCAN U952,LZR®-FLATSCAN-U952,EA,1587.65,756.91,,,,714.06
10LZRFLATSCAN3D-LB,"FLATSCAN 3D LEFT SENSOR ONLY, 1 Replacement Sensor",EA,981.91,462.64,,,,436.45
10LZRFLATSCAN3D-LBK,"FLATSCAN 3D LEFT ONLY KIT, 1 Sensor + Cables and Accessories",EA,994.27,468.62,,,,442.09
10LZRFLATSCAN3D-LELBKIT,"Flatscan 3D LE Left Kit, 2Sensors + Cables and Accessories",EA,1990.55,938.3,,,,885.19
10LZRFLATSCAN3D-LERBKIT,"Flatscan 3D LE Right KIT, 2 Sensors + Cables and Accessories",EA,1990.55,938.3,,,,885.19
10LZRFLATSCAN3D-LESWBK,"Flatscan 3D L.E Kit, 2Sensors + Cables and Accessories",EA,1990.55,938.3,,,,885.19
10LZRFLATSCAN3D-RB,FLATSCAN 3D RIGHT SENSOR ONLY,EA,981.91,462.64,,,,436.45
10LZRFLATSCAN3D-RBK,"FLATSCAN 3D RIGHT ONLY KIT, 1 Sensor + Cable and Accessories",EA,994.27,468.62,,,,442.09
10LZRFLATSCAN3D-SWBK,"FLATSCAN 3D Kit, BLACK, 2 Sensors + Cables and Accessories",EA,1988.55,937.24,,,,884.19
10LZRFLATSCAN3D-SWBKU,"FLATSCAN 3D Kit, BLACK, 2 Sensors + Cables and Accessories",EA,2068.32,956.26,,,,902.13
10LZRFLATSCANGDA,Flatscan GLass Door Accessory,EA,51.69,23.91,,,,22.56
10LZRFLATSCAN-LB,"LZRFLATSCANLEFT BLACK, Sensor ONLY",EA,882.41,415.68,,,,392.16
10LZRFLATSCAN-LELB,LZRFLATSCAN Low Energy LEFT BLACK,EA,898.77,423.78,,,,399.8
10LZRFLATSCAN-LELS,LZRFLATSCAN Low Energy LEFT SILVER,EA,924.61,435.74,,,,411.08
10LZRFLATSCAN-LELW,LZRFLATSCAN Low Energy LEFT WHITE,EA,924.61,435.74,,,,411.08
10LZRFLATSCAN-LERB,LZRFLATSCAN Low Energy RIGHT BLACK,EA,898.77,423.78,,,,399.8
10LZRFLATSCAN-LERS,LZRFLATSCAN Low Energy RIGHT SILVER,EA,924.61,435.74,,,,411.08
10LZRFLATSCAN-LERW,LZRFLATSCAN Low Energy RIGHT WHITE,EA,924.61,435.74,,,,411.08
10LZRFLATSCAN-LS,"LZRFLATSCANLEFT SILVER, Sensor ONLY",EA,908.25,427.64,,,,403.44
10LZRFLATSCAN-LW,"LZRFLATSCANLEFT WHITE, Sensor ONLY",EA,908.25,427.64,,,,403.44
10LZRFLATSCAN-RB,"LZRFLATSCAN Sensor ONLY, RIGHT BLACK",EA,882.41,415.68,,,,392.16
10LZRFLATSCANREVPZ-R,LZR®-FLATSCAN REV-PZ RECESSED,EA,1182.5,636.09,,,,600.08
