Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Addison Price,Door Controls Price,Best Source
4-45-1003,"Bracket, Cover Attachment",EACH,24.0,16.3,,,,,,16.302
4-45-1004,"Plate, Backer (Pivot Stile)",EACH,21.0,14.26,,,,,,14.264249999999999
4-45-1006,"Cap, Pivot Stile",EACH,32.0,21.74,,,,,,21.736
4-45-1009,"Spacer, Electric Lock",EACH,43.0,29.21,,,,,,29.207749999999997
4-45-4011-BL,"Base, Pivot Bearing",EACH,122.0,82.87,,,,80.75,,80.75
4-45-4012,"Spacer, Top Pivot Arm",EACH,54.0,36.68,,,,36.55,,36.55
4-45-9001,"Seal, Hinge Stile (8ft/Stick)",PIECE,151.0,102.57,,,,,138.92,102.56675
4-45-9003,"Bumper, Door Open Stop",EACH,42.0,28.53,,,,,24.15,24.15
4-49-1001,"Bracket, Header Mounting",EACH,26.0,17.66,,,,,,17.660500000000003
4-49-1002,"Arm, Drive",EACH,338.0,229.59,,,,,310.96,229.5865
4-49-4001-MF,"End Cap, Push Bar",EACH,2.0,1.36,,,,,,1.3585
4-49-4002-BL,Push Bar Machining,EACH,99.0,67.25,,,,,,67.24575
4-51-0001,"Weldment, Torque Bar 202-003816280",EACH,312.0,211.93,,,,,287.04,211.926
4-51-0003,"Carrier Ass'y, Lower Belt",EACH,385.0,261.51,,,,284.75,354.2,261.51124999999996
4-51-0004,"Carrier Ass'y, Upper Belt",EACH,375.0,254.72,,,,275.4,345.0,254.71874999999997
4-51-0006,Idler Pulley Ass'y.,EACH,204.0,138.57,,,,151.3,187.68,138.56699999999998
4-51-0007,"Bracket Ass'y., Upper Sidelite Pivot - L.H. (Parts Orders)",EACH,36.0,24.45,,,,69.7,57.42,24.453
4-51-0008,"Bracket Ass'y., Upper Sidelite Pivot - R.H. (Parts Orders)",EACH,36.0,24.45,,,,69.7,57.42,24.453
4-51-0009,"Bracket Ass'y., Sidelite Strike",EACH,68.0,46.19,,,,,62.56,46.189
4-51-0010,"Plate Ass'y., Terminal Block",EACH,38.0,25.81,,,,,,25.8115
4-51-0011,Torque Bar Ass'y. - SX Panels,EACH,230.0,156.23,,,,,211.6,156.2275
4-51-0012,"Carrier Ass'y., Slave",EACH,352.0,239.1,,,,260.95,202.4,202.4
